-5.21,13.16,23.53
3.95,6.09,16.36
7.32,2.24,8.53
4.12,-1.86,5.1
3.22,-1.11,2.36
4.02,1.92,5.08
-1.46,4.1,10.94
1.19,3.41,17.74
0.96,13.74,26.04
-6.8,16.48,25.54
-9.43,6.02,9.12
-7.85,0.63,0.48
-4.89,-0.27,-2.59
-6.03,2.59,-2.95
-5.17,2.32,-3.53
-5,0.96,1.13
-10.98,-0.29,10.17
-11.88,6.23,21.15
-7.45,12.2,22.68
0.61,10.98,20.23
3.35,6.23,11.84
5.42,-1,5.46
6.03,-3.81,3.45
4.16,-0.69,3.03
7.05,1.71,5.59
3.54,4.06,12.32
1.76,7.38,19.33
2.85,17.43,26.55
-15.44,19.96,24.5
-7.8,7.11,9.08
-6.55,3.35,3.01
-3.76,0.25,0.23
-3.47,-0.25,-2.97
-4.87,1.51,-3.05
-1.53,-0.21,6.36
-0.59,-0.04,24.66
-24.64,9.89,26.11
2.91,5.17,20.37
-2.95,1.74,10.36
-0.82,-0.48,4.79
-0.13,-2.99,-0.38
2.09,-1.53,1.48
5.46,2.68,2.18
6.84,1.71,3.37
4.71,0.69,6
7.85,6.92,14.75
0.48,23.68,29.96
-17.78,28.79,31.71
-10.46,15.36,15.42
-7.36,9.25,7.59
-4.06,5.77,4
-2.62,2.51,0.1
-4.39,-0.17,-2.66
-7.11,-1.69,-1.78
-5.59,-0.31,-0.34
-6.11,0.25,6.28
-9.9,4.18,17.36
-6.74,5.98,21.94
-7.32,4,15.04
3.3,1.17,11.8
5.21,0.71,9.9
4.58,1.59,4.39
2.87,0.88,10
1.05,8.37,15.14
-12.59,13.18,22.95
-6.48,7.18,20.37
-10.27,7.26,15.19
-8.03,5.69,8.41
-8.68,2.11,-0.69
-4.52,1.97,-1.82
-7.4,0.36,-2.87
-8.56,1.99,-1.44
-9.33,4.1,5.33
-13.3,5.96,14.39
-8.08,4.54,19.27
-4.92,7.11,19.56
2.91,2.87,12.64
8.22,-0.48,7.22
5.9,-1.19,4.04
6.84,-0.5,3.81
5.25,0.06,5.73
3.1,-0.08,9.94
0.48,4.75,18.14
-0.04,9.54,23.01
-2.93,10.65,25.23
-12.4,8.24,19.71
-10.13,2.05,6.63
-6.02,1.02,3.31
-6.05,0.75,-0.56
-6.17,1.76,-2.61
-4.39,3.39,-1.38
-6,2.03,6.4
-9.45,1.09,8.18
-8.99,3.12,18.99
-10.42,9.52,18.39
-0.25,9.6,17.09
5.67,5.71,10.15
3.18,-0.63,4.73
1.05,-0.79,3.41
3.87,1.28,3.81
6.59,0.73,5.06
