0.25,1.57,9.48
0.27,1.59,9.56
0.17,1.61,9.64
0.46,1.63,9.56
0.27,1.69,9.5
0.4,1.65,9.48
0.4,1.63,9.33
0.34,1.61,9.56
0.38,1.63,9.69
0.23,1.59,9.67
0.29,1.59,9.37
0.33,1.57,9.33
0.4,1.46,9.58
0.36,1.63,9.52
0.38,1.67,9.48
0.46,1.57,9.37
0.52,1.46,9.43
0.4,1.55,9.58
0.33,1.57,9.48
0.33,1.49,9.54
0.38,1.57,9.5
0.33,1.42,9.64
0.4,1.57,9.46
0.46,1.71,9.37
0.44,1.67,9.46
0.42,1.49,9.71
0.36,1.53,9.52
0.31,1.57,9.48
0.4,1.55,9.6
0.42,1.61,9.41
0.31,1.49,9.62
0.21,1.51,9.62
0.42,1.63,9.33
0.46,1.57,9.62
0.25,1.53,9.48
0.31,1.65,9.48
0.31,1.51,9.56
0.31,1.55,9.56
0.44,1.65,9.52
0.23,1.44,9.5
0.46,1.48,9.39
0.25,1.48,9.67
0.33,1.51,9.54
0.4,1.61,9.46
0.36,1.42,9.67
0.23,1.48,9.73
0.34,1.61,9.58
0.48,1.63,9.56
0.27,1.44,9.56
0.27,1.61,9.58
0.42,1.55,9.52
0.4,1.63,9.39
0.31,1.57,9.58
0.31,1.63,9.41
0.21,1.57,9.67
0.27,1.59,9.52
0.29,1.59,9.69
0.4,1.55,9.5
0.29,1.42,9.66
0.23,1.53,9.67
0.34,1.65,9.6
0.25,1.53,9.66
0.38,1.55,9.58
0.17,1.49,9.73
0.4,1.48,9.69
0.31,1.57,9.54
0.4,1.57,9.56
0.31,1.49,9.37
0.27,1.53,9.5
0.31,1.61,9.45
0.29,1.42,9.52
0.34,1.59,9.66
0.33,1.65,9.45
0.27,1.51,9.5
0.23,1.49,9.73
0.27,1.65,9.58
0.33,1.55,9.43
0.42,1.53,9.45
0.36,1.55,9.67
0.42,1.57,9.43
0.38,1.55,9.62
0.15,1.55,9.5
0.34,1.59,9.43
0.31,1.55,9.64
0.34,1.51,9.54
0.36,1.51,9.58
0.34,1.51,9.5
0.29,1.53,9.48
0.46,1.61,9.46
0.25,1.46,9.64
0.25,1.49,9.66
0.4,1.44,9.31
0.36,1.59,9.5
0.29,1.59,9.69
0.31,1.55,9.48
0.42,1.53,9.62
0.4,1.44,9.54
0.27,1.53,9.66
0.25,1.51,9.64
0.23,1.59,9.48
0.4,1.74,9.46
