-2.34,5.73,2.39
-4.06,-0.23,-0.44
-4.85,-1.13,-1.19
-5.17,-0.63,-1.55
-5.4,-0.42,-1.09
-6.65,3.14,2.32
-12.76,19.6,12.13
-8.08,26.4,8.26
-5.27,17.63,8.93
-4.83,14.27,5.12
-2.36,10.52,2.64
1.55,5.06,0.11
5.1,0.65,-1.4
3.45,-0.79,-2.09
1.74,-0.36,-0.86
1.82,3.3,3.08
-2.03,16.74,13.99
-0.04,20,16.86
2.64,10.5,10.1
-4.98,7.7,7.84
-4.73,7.87,6.02
-3.95,5.06,3.62
-4.14,2.61,2.41
-6.28,3.6,3.58
-5.86,6.59,2.41
-4.31,7.66,0.82
-4.5,12.61,2.99
-10.75,23.72,7.36
-1.09,32.3,9.73
0.75,18.01,5.65
1.32,10.69,2.72
3.03,7.64,0.5
4.48,3.22,-1
6.36,-0.96,-3.77
5.13,-1.59,-3.03
5.61,0.42,-0.06
3.93,8.77,7.8
4.66,26.99,17.66
-0.31,26.06,18.03
-0.42,16.36,13.3
0.27,8.47,6.49
-0.57,4.29,2.36
-1.99,1.38,0.4
-4.6,-0.1,-0.77
-8.54,-0.96,-1.15
-8.39,-0.33,-0.04
-7.4,4.43,2.99
-8.16,22.17,6.84
-8.83,28.89,7.22
1.72,16.04,4.5
-2.36,11.61,4.71
0.06,6.78,2.34
1.86,2.2,3.33
5.8,0.17,2.18
5.31,-0.96,1.57
2.32,2.43,7.7
5.9,11.23,10.44
-3.89,16.53,18.91
7.3,11.23,10.44
-3.26,8.39,10.81
0.19,9.96,5.5
-1.74,5.82,1.67
-3.12,2.26,0.48
-3.05,1.34,-0.21
-6,0.75,-0.25
-7.78,3.01,2.97
-10.75,10.98,8.41
-11.48,18.97,9.12
-3.01,18.99,10.15
-3.08,13.89,6.92
-0.5,9.1,4.58
2.15,4.16,2.22
5.8,0.54,0.19
6.38,-0.9,-1.4
5.33,-0.38,-0.34
2.18,10.02,6.05
-3.41,24.62,14.45
0.79,19.06,12.72
-2.8,11.04,11.74
-2.22,5.52,6.25
-2.43,5.33,4.41
-3.39,1.93,1.61
-3.16,1.4,-0.73
-3.7,-0.92,-0.65
-4.16,2.09,1.4
-8.77,9.02,4.75
-20.6,23.41,9.81
-3.45,22.86,7.72
-5.56,18.47,7.7
-5.79,15.54,5.46
-4.2,11,4.31
-1.61,5.82,2.39
0.54,5.88,1.63
-0.36,3.39,2.66
-0.15,3.12,4.96
3.33,4.44,5.04
2.55,2.82,7.91
0.44,0.42,9.5
2.2,-2.01,10.94
1.17,-1.44,12.03
2.18,-2.93,10.75
