8.3,18.55,7.49
12.55,25.61,0.69
-0.56,34.03,-7.11
-12.15,24.35,-5.06
-12.09,9.52,0.86
-9.62,2.53,5.86
-13.72,1.25,6.92
-13.49,10.73,5.58
-4.56,19.1,3.81
2.43,20.37,1.69
5.52,20.79,1.34
6.71,20.15,-0.15
11.34,12.72,-0.65
13.74,-3.12,3.24
15.94,-7.2,3.51
17.05,-2.89,3.35
12.34,8.56,2.84
9.94,19.66,4.23
7.55,24.56,0.23
2.74,25.69,-3.33
0.13,19.94,-2.55
1.76,17.38,0.77
-0.02,16.82,-1.38
-6.51,9.9,1.4
-7.93,5.02,4.12
-4.14,4.64,5.63
-1.36,2.43,7.78
-1.17,1.99,9.81
2.38,2.39,9.94
3.01,0.33,9.54
2.72,0.94,6.9
2.64,-0.71,4.75
1.88,-1.53,2.41
2.36,-3.3,3.85
2.64,-3.16,4.58
2.05,-4.43,5.63
1.95,-5.21,7.78
1.03,-5.04,8.99
1.84,-5.38,9.02
2.24,-5.75,9.39
1.99,-4.08,9.54
2.95,-3.79,9.06
3.1,-5.65,7.15
2.36,-4.98,8.03
2.76,-4.58,8.05
3.95,-4.04,8.16
3.98,-3.77,7.59
2.55,-3.95,8.93
3.2,-3.91,9.46
3.43,-4.06,8.83
4.37,-4.77,7.61
4.29,-4.35,7.63
3.35,-3.54,7.36
3.28,-3.16,7.51
3.33,-3.6,8.03
2.84,-3.66,8.62
2.8,-4.23,7.47
2.38,-6.03,7.82
2.15,-4.81,9.62
2.99,-4.08,9.02
2.57,-3.62,8.66
3.28,-3.87,8.64
