3.05,3.22,8.74
3.37,3.14,8.49
3.08,3.03,8.99
3.12,3.16,8.6
3.16,3.14,8.64
3.1,3.08,8.6
3.28,3.1,8.54
3.3,3.18,8.56
3.2,3.12,8.49
3.14,3.24,8.68
3.18,3.1,8.53
3.28,3.14,8.53
3.14,3.18,8.51
3.07,3.1,8.58
3.35,3.18,8.58
3.2,3.1,8.74
3.01,3.03,8.72
3.24,3.12,8.64
3.28,3.18,8.7
3.28,3.1,8.76
3.18,3.08,8.72
3.05,3.05,8.51
3.24,3.14,8.66
3.12,3.16,8.83
3.24,3.16,8.54
3.07,3.07,8.54
3.1,3.16,8.74
3.08,3.1,8.66
3.24,3.12,8.54
3.1,3.1,8.68
3.24,3.05,8.64
3.26,3.12,8.56
3.07,2.99,8.76
3.07,3.12,8.77
3.14,3.14,8.72
3.18,3.18,8.56
3.07,3.01,8.83
3.24,3.1,8.72
3.2,3.14,8.79
3.26,3.22,8.72
3.16,3.16,8.74
3.03,3.14,8.74
3.26,3.12,8.47
3.18,3.1,8.54
3.12,3.07,8.53
3.22,3.07,8.6
3.08,3.14,8.79
3.2,3.16,8.64
3.16,3.1,8.68
2.95,3.1,8.54
3.24,3.18,8.62
3.28,3.12,8.64
3.28,3.14,8.22
3.28,3.2,8.39
3.08,3.18,8.51
3.14,3.14,8.6
3.18,3.14,8.76
3.22,3.16,8.43
3.22,3.22,8.45
3.22,3.1,8.43
3.1,3.14,8.64
3.05,3.08,8.58
3.2,3.14,8.72
3.08,3.01,8.74
3.08,3.08,8.58
3.12,3.14,8.74
3.14,3.16,8.47
2.99,3.05,8.66
3.26,3.24,8.54
3.26,3.12,8.62
3.24,3.07,8.93
3.14,3.1,8.74
3.26,3.14,8.53
3.3,3.22,8.56
3.16,3.1,8.58
3.24,3.16,8.79
3.16,3.16,8.64
3.16,3.03,8.54
3.28,3.12,8.35
3.26,3.18,8.66
3.37,3.24,8.39
3.22,3.1,8.62
3.26,3.07,8.66
3.26,3.18,8.35
3.28,3.22,8.53
3.12,3.08,8.56
3.2,3.1,8.72
3.12,3.16,8.68
3.2,3.24,8.41
3.2,3.24,8.49
3.2,3.18,8.74
3.22,3.2,8.56
3.24,3.12,8.77
3.2,3.22,8.51
3.26,3.14,8.58
3.3,3.16,8.6
3.24,3.2,8.53
3.2,3.07,8.64
3.26,3.26,8.64
3.08,3.22,8.76
3.33,3.18,8.33
