8.74,2.05,2.01
10.21,1.72,2.55
12.55,0.86,2.01
11.72,0.63,3.56
8.58,0.1,3.89
7.84,-0.13,4.14
9.04,-0.59,3.76
9.58,-0.88,3.87
9.89,-1.21,2.78
8.99,-1.26,3.01
8.81,-0.21,2.62
8.08,0.63,2.84
8.14,1.55,2.66
7.66,2.26,2.39
7.4,2.99,2.61
7.72,3.2,2.78
8.54,2.64,3.1
9.75,2.38,3.12
10.54,1.69,2.84
9.6,0.54,3.1
13.12,0.42,3.95
13.22,-0.23,3.39
10.86,-0.67,2.91
10.1,-0.08,2.2
10.04,0.65,1.53
9.43,0.33,1.78
9.52,-1.3,2.24
9.02,-0.9,1.84
9.43,-0.36,1.34
8.99,0.25,1
8.43,0.33,0.84
7.78,0.11,0.86
7.32,0.34,1.07
8.31,1.19,1.17
8.24,1.46,1.05
8.76,1.9,1.82
8.54,2.13,2.39
8.35,1.53,1.99
11.71,1.86,3.16
12.15,2.61,4.77
9.12,1.05,5.21
9.73,-0.8,5
10.81,-1.44,4.67
10.92,-1.78,2.91
10.31,-1.23,1.69
9.2,-0.67,1.82
8.47,0.82,1.63
8.03,2.57,1.71
8.1,3.35,1.86
7.8,3.72,1.67
7.55,4,1.95
7.74,3.37,2.09
8.35,2.66,2.05
8.95,1.86,2.07
9.35,0.79,2.16
12.53,0.21,3.24
12.72,0.11,4.04
11.48,0.21,4.14
10.82,0.61,4.02
11.84,0.79,1.78
10.19,1,1.17
9.96,-0.34,1.57
8.35,-1.51,2.13
7.7,-1.55,1.4
8.03,-0.36,1.67
8.72,0.94,1.21
9.08,1.4,1.13
8.85,1.36,1.42
8.51,1.13,1.25
8.16,0.9,1.4
8.22,0.88,1.67
8.14,0.8,1.53
8.76,1.03,2.01
8.56,1.34,2.41
8.16,1.03,2.39
8.76,0.36,2.61
11.94,0.98,3.66
13.16,1.23,5.42
13.01,0.8,5.36
10.98,-0.57,3.14
9.6,-0.11,3.22
9,0.94,3.2
9.25,0.17,2.78
8.97,-0.48,2.16
8.91,-0.44,1.61
8.68,0.19,1.97
8.66,1.67,2.24
7.78,2.89,3.22
7.4,3.54,3.72
8.2,3.54,4.73
10.52,2.95,3.91
12.01,0.34,2.24
10.52,-1.34,1.78
10.67,-2.93,2.03
10.29,-3.7,1.78
9.67,-2.84,1.78
9.6,-1,2.03
9.9,-0.04,1.61
9.52,0.54,1.11
8.97,1.3,1.17
8.3,1.8,1.55
