6.72,-10.21,-4.75
3.91,-0.86,0.54
7.41,3.81,5.33
14.46,9.46,11.44
15.9,12.11,23.01
22.17,19.96,20.06
10,9.62,17.55
6.82,12.24,10.92
-1.25,8.18,5.4
-18.91,5.82,6.17
-9.16,6.48,2.36
-9.85,5.8,3.58
-4.35,11.8,5.61
2.34,22.28,17.2
19.33,29.39,14.18
6.02,16.94,11.59
6.55,11.13,6.46
8.28,1.71,-1.99
10.59,-6.53,-4.98
8.6,-6.94,-4.41
5.61,-2.53,-0.42
3.43,2.24,3.72
0.33,8.64,17.15
-1.46,14.75,19.43
5.54,17.7,18.47
-4.58,6.38,12.28
-1.21,3.6,6.9
-2.59,3.05,4.62
-2.32,2.45,2.38
-2.57,-0.06,2.45
-1.25,4.69,2.26
-2.61,0.65,5.48
-2.91,14.16,24.48
-1.32,13.64,16.57
-1.84,10.92,10.21
0.48,10.12,6.9
1.95,7.18,5.23
2.45,6.28,5.36
3.43,6.4,6
7.26,3.24,2.89
2.01,-1.36,-0.5
-3.79,2.89,-0.42
-4.69,4.71,0.71
-0.88,2.61,-0.31
2.76,-4.04,-1.02
23.26,4.21,6.42
19.79,6.49,24.43
35.56,17.22,18.97
17.03,12.72,19.43
8.58,5.98,11.05
4.04,4.77,7.45
-0.69,6.72,2.07
-13.62,4.04,5.33
-9.69,4.29,1.25
-9.27,0.98,5.12
-4.92,10.06,6.11
-0.56,9.16,11.61
-1.48,31.71,17.15
3.47,31.07,16.48
0.84,23.3,11.15
5.33,8.99,3.6
9.64,0.46,1.55
17.91,-12.87,-8.1
6.49,-11.17,-3.05
6,-5.58,-5.02
9.9,0.71,0.4
6.9,2.39,5.48
23.87,21.04,18.58
22.63,34.31,19.92
6.28,24.85,17.13
2.01,19.68,10.27
-1.4,2.7,-0.25
-13.74,-0.84,1.55
-10.92,5.1,2.39
-8.26,3.81,2.99
-3.01,6.15,6.69
-5.36,28.62,15.59
3.31,33.97,19.16
4.64,35.33,19.06
6.05,16.3,9.73
9.39,4.71,0.86
19.58,-5.46,-11.32
9.75,-9.89,-10.29
2.13,-2.47,-7.99
3.12,-0.77,-7.49
4.69,-1.09,2.15
6.4,9.37,13.07
17.61,7.22,27.78
21.78,32.13,29.48
11.67,16.88,19.73
3.1,4.46,10.19
-2.66,9,5.35
-7.22,5.13,-0.31
-14.64,1.09,2.34
-5.96,3.56,2.51
-3.85,2.87,6.4
-1.46,4.54,10.96
-2.93,12.87,29.39
4.02,12.36,23.47
7.84,4.56,17.95
1.72,3.01,10.17
